Name,Code,CURRENCY,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,Q3 2018,Q2 2018,Q1 2018,Q4 2017,Q3 2017,Q2 2017,Q1 2017,Q4 2016,Q3 2016,Q2 2016,Q1 2016,Q4 2015,Q3 2015,Q2 2015,Q1 2015,Q4 2014,Q3 2014,Q2 2014,Q1 2014,Q4 2013,Q3 2013,Q2 2013,Q1 2013,Q4 2012,Q3 2012,Q2 2012,Q1 2012,Q4 2011,Q3 2011,Q2 2011,Q1 2011,Q4 2010,Q3 2010,Q2 2010,Q1 2010,Q4 2009,Q3 2009,Q2 2009,Q1 2009,Q4 2008,Q3 2008,Q2 2008,Q1 2008,Q4 2007,Q3 2007,Q2 2007,Q1 2007,Q4 2006,Q3 2006,Q2 2006,Q1 2006,Q4 2005
RONGFENG HOLDING GROUP 'A' - MARKET VALUE,CN:WPT(MV),CH,2634.34,1914.82,1983.83,2615.25,2790,1584.42,1967.68,2245.21,2372.97,1879.58,1453.73,1327.45,1604.98,1904.54,2196.76,2508.06,2452.26,2935.37,3669.58,3424.35,2881.04,3566.79,4309.81,5108.63,5108.63,2393.52,1679.87,2060.19,1340.67,1380.31,1380.31,1380.31,1328.92,1439.05,1193.82,1082.22,1193.82,1327.45,1114.53,1450.8,1550.65,1807.62,1641.69,1663.72,1478.7,2187.94,2035.23,1696.02,2180.6,2364.17,2644.64,2644.64,2644.64,2415.57,3223.2,3433.19,2543.32,2193.83,1449.34,1508.08,1306.9,1095.45,900.15
RONGFENG HOLDING GROUP 'A' - TOT ASSETS/CMN EQUITY RATIO,CN:WPT(WC08287A),CH,3.029,2.707,2.733,2.476,2.828,2.838,2.745,2.585,2.626,2.96,3.272,2.807,3.785,4.093,3.64,3.316,3.041,2.992,3.334,3.243,3.126,2.894,2.217,2.427,2.52,2.701,2.698,2.563,2.534,2.328,2.265,2.494,1.655,1.652,1.661,1.615,1.621,1.614,1.4,1.408,1.45,1.393,1.401,1.517,1.603,1.587,1.664,1.949,2.032,2.003,2.058,2.213,1.145,1.451,1.284,1.291,1.271,1.303,1.459,1.497,1.567,1.614,1.619
YANGO GROUP 'A',CN:FSH(P),CH,5.2,6.08,6.52,7.31,6.34,6.99,8.5,5.9,6.48,8.35,5.19,5.96,5.97,7.7,7.87,7,5.82,5.48,5.57,6.31,5.94,6.22,9.03,5.7,8.31,8.02,5.55,5.04,3.52,3.78,3.72,4.5,4.74,3.45,3.26,2.05,1.91,1.7,1.34,1.32,1.76,1.93,1.78,1.87,1.45,2.34,1.57,1.43,1.76,0.64,0.38,0.3,0.46,1.09,1.09,1.12,0.58,0.69,0.47,0.43,0.4,0.35,0.36
YANGO GROUP 'A' - TOTAL ASSETS,CN:FSH(WC02999A),CH,357878130,359963229,351982361,356065150,339096537,325374049,307430342,310232820,288621287,271921846,263330992,264098369,244646623,226686644,213234737,196368811,180440818,156918787,120408967,112093897,83493737,72485310,70163140,61012469,51631129,50326383,46222208,42171375,42762636,39064907,32707465,24685641,22303074,21741884,16590460,14066218,13407525,13709151,13187558,12676399,8561160,6521468,5902712,4998603,4155808,3529371,3322081,3082513,2947143,2726159,2679634,2064726,1937871,2035304,1716295,1764730,1359685,1362377,1203074,1090782,929223,752429,658369
YANGO GROUP 'A' - MRKT VALUE TO BOOK,CN:FSH(MTBV),CH,0.81,0.94,1.01,1.12,0.97,1.07,1.6,1.1,1.21,1.56,1.17,1.34,1.34,1.73,2.1,1.87,1.56,1.46,1.71,1.93,1.82,1.89,3.02,1.54,2.24,2.14,2.77,2.05,1.43,1.54,2.96,3.5,3.68,2.68,3.78,2.38,2.22,1.97,1.7,1.67,2.23,2.44,2.8,2.94,2.28,3.68,4.64,4.23,5.2,1.9,1.39,0.62,0.97,2.26,6.08,6.27,3.26,3.87,2.86,2.58,2.4,2.13,2.33
YANGO GROUP 'A' - MARKET VALUE,CN:FSH(MV),CH,21529.99,25159.95,26970.11,29931.48,25959.73,28533.15,34696.97,23895.41,26244.45,33818.09,21019.86,24138.42,24178.92,31185.54,31874.05,28350.5,23571.41,22194.38,22548.65,25544.35,24046.5,24971.91,36253.43,18477.95,26882.39,25761.75,17812.34,13154.8,9177.04,9866.1,9699.05,11457.12,12068.16,8790.48,8308.08,5231.41,4866.93,4330.92,3403.63,3350.03,4481,4904.45,4529.24,4759.72,3691.73,5959.7,4003.29,3651.54,4489.05,1641.52,963.14,433.04,670.97,1570.35,1570.35,1617.94,841.33,999.32,685.25,617.67,574.84,509.18,525.35
YANGO GROUP 'A' - TOT ASSETS/CMN EQUITY RATIO,CN:FSH(WC08287A),CH,13.21,13.228,13.186,14.893,14.829,14.566,14.138,15.663,15.151,14.882,14.647,16.035,15.297,14.735,14.075,14.314,13.441,11.767,9.12,9.162,6.94,5.942,5.84,9.22,7.844,7.571,7.197,13.246,12.562,11.43,9.987,9.314,10.114,9.661,7.556,7.389,7.735,7.362,6.569,7.053,4.657,4.06,3.646,3.999,3.909,4.035,3.849,4.325,4.304,3.926,3.863,7.99,7.546,7.866,6.649,7.798,5.942,5.749,5.028,4.615,3.963,3.278,2.921
BEH-PROPERTY 'A',CN:GHU(P),CH,3.44,3.39,5.03,4.02,3.45,3.64,3.84,3.7,4.24,5,3.64,3.81,4.31,6.34,6.92,9.98,9.21,7.81,8.2,8.13,6.95,6.97,9.38,6.25,11.57,8.33,6.71,6.59,4.52,5.24,5.72,5.03,5.15,4.36,4.54,3.82,4.53,4.5,4.84,5.08,5.93,6.13,6.23,5.4,4.66,7.5,7.5,6.04,6.86,5.64,4.01,4.62,4.47,8.81,9.62,14.88,5.63,4.53,2.45,2.42,2.16,1.6,1.84
BEH-PROPERTY 'A' - TOTAL ASSETS,CN:GHU(WC02999A),CH,18715951,18238459,18024496,17636837,14368234,13403095,13211033,7967265,8099913,8014053,6678507,6553946,6078343,5903369,6258618,5554864,5189183,4916383,5041447,5020030,5194992,5171577,5249132,4904347,4998896,5820738,5926663,6586005,6981427,6935908,6982065,5528638,4786830,4827839,4898468,4724100,4718628,4624868,4616591,4726455,4821442,5029101,4863884,4178212,3807000,2948119,2901374,2565736,2581692,3341287,3321838,2966858,2830303,1719815,1461637,1941528,2080298,1099927,1083125,1018127,1063314,1021552,988322
BEH-PROPERTY 'A' - MRKT VALUE TO BOOK,CN:GHU(MTBV),CH,0.98,0.97,1.44,1.15,0.99,1.04,1.02,0.98,1.13,1.33,1,1.04,1.18,1.73,1.94,2.8,2.58,2.19,2.41,2.39,2.05,2.05,2.83,1.88,3.49,2.51,2.12,2.08,1.43,1.66,1.89,1.66,1.7,1.44,1.66,1.4,1.66,1.64,1.96,2.05,2.4,2.48,2.98,2.59,2.23,3.59,4.04,3.26,3.7,3.04,2.19,2.52,2.44,4.81,6.04,9.34,3.53,2.84,2.57,2.53,2.26,1.68,2.13
BEH-PROPERTY 'A' - MARKET VALUE,CN:GHU(MV),CH,1557.91,1535.26,2277.99,1820.58,1562.44,1648.48,1739.06,1675.66,1920.21,2264.4,1648.48,1725.47,1951.91,2871.26,3133.93,4519.74,4171.02,3536.99,3713.62,3681.91,3147.51,3156.57,4248.01,2830.5,5239.82,3772.49,3038.82,2984.48,2047.02,2373.09,2590.47,2277.99,2332.33,1974.56,2056.07,1730,2051.55,2037.96,2191.94,2300.63,2685.58,2776.15,2821.44,2445.55,2110.42,3396.6,3396.6,2735.39,3106.75,2554.24,1816.05,2092.3,2024.37,3988.17,4356.14,6739.41,2550.28,2053.06,758.04,746.46,666.67,495.49,567.57
BEH-PROPERTY 'A' - TOT ASSETS/CMN EQUITY RATIO,CN:GHU(WC08287A),CH,11.929,11.826,11.384,11.029,8.772,7.957,7.757,4.664,4.728,4.822,4.031,3.889,3.764,3.651,3.878,3.487,3.382,3.183,3.278,3.302,3.4,3.441,3.495,3.309,3.433,4.106,4.134,4.646,5.009,5.008,5.089,4.331,3.798,3.849,3.953,3.999,4.068,4.015,4.121,4.711,4.927,5.169,5.145,5.177,4.678,3.56,3.453,3.207,3.169,4.086,4.003,3.399,3.598,2.384,2.025,3.176,3.469,3.67,3.668,3.765,3.951,3.822,3.716
HAINAN YATAI INDL.DEV. 'A',CN:HHD(P),CH,5.1,5.37,4.58,5.08,5.09,3.63,4.01,3.82,4.02,5.14,4.58,3.76,3.89,6.19,7.83,7.35,6.48,8.33,10.65,8.38,8.06,9.53,11.28,6.35,10.13,7.56,5.7,7,5.25,5.24,4.87,5.31,4.59,5.71,5.81,5.3,6.33,4.83,3.67,5.71,6.78,5.85,5.23,5.8,5.8,6.04,5.77,4.44,4.31,2.13,1.93,2.05,2.91,6.7,9.1,8.44,8.15,4.62,1.81,3.36,3.16,1.9,1.39
HAINAN YATAI INDL.DEV. 'A' - TOTAL ASSETS,CN:HHD(WC02999A),CH,704542,761429,727156,701514,742519,252524,240391,190471,185627,188076,198075,219429,225801,244049,252588,256048,286160,288716,284492,279118,287762,275673,284777,301652,300146,327940,301661,324508,315584,285835,283405,254683,253173,266311,245856,255412,249120,244526,246648,232021,227626,223046,215284,452450,450847,444545,444569,641445,612002,572587,627784,645300,649391,667389,659263,636318,656598,599751,589191,751450,786327,809500,838446
HAINAN YATAI INDL.DEV. 'A' - MRKT VALUE TO BOOK,CN:HHD(MTBV),CH,17.38,18.3,15.61,17.32,17.35,12.37,17.23,16.41,17.27,22.09,17.33,14.23,14.72,23.43,34.02,31.93,28.15,36.19,93.65,73.69,70.88,83.81,44.82,25.23,40.25,30.04,14.36,17.63,13.23,13.2,10.55,11.5,9.94,12.37,12.81,11.68,13.95,10.65,8.15,12.69,15.06,13,11.96,13.26,13.26,13.81,14.18,10.91,10.6,5.24,1.9,2.02,2.87,6.61,7.54,7,6.76,3.83,1.6,2.37,2.23,1.34,0.8
HAINAN YATAI INDL.DEV. 'A' - MARKET VALUE,CN:HHD(MV),CH,1648.68,1735.96,1480.58,1642.21,1645.44,1173.47,1296.31,1234.89,1299.54,1661.61,1480.58,1215.49,1257.52,2001.04,2531.2,2376.03,2094.79,2692.84,3442.82,2709,2605.56,3080.76,3646.48,2052.76,3274.72,2443.92,1842.64,2262.89,1697.17,1693.93,1574.32,1716.56,1483.81,1845.87,1878.2,1713.33,2046.3,1561.39,1186.4,1845.87,2191.77,1891.13,1690.7,1874.97,1874.97,1952.55,1865.27,1435.32,1393.29,688.56,623.91,662.7,940.72,2165.91,2941.75,2728.4,2634.65,1493.51,585.12,867.48,815.85,490.54,358.87
HAINAN YATAI INDL.DEV. 'A' - TOT ASSETS/CMN EQUITY RATIO,CN:HHD(WC08287A),CH,6.375,7.394,7.668,7.313,8.04,3.148,3.195,2.415,2.282,2.241,2.319,2.552,3.127,3.341,3.394,3.361,3.621,10.58,7.739,3.376,3.612,2.377,3.5,2.385,2.39,2.549,2.351,2.221,2.108,1.913,1.899,1.731,1.724,1.805,1.677,1.747,1.707,1.723,1.695,1.705,1.652,1.594,1.523,3.496,3.464,3.391,3.381,2.08,1.966,1.786,1.916,1.695,1.69,1.732,1.691,1.57,1.603,1.627,1.612,1.712,1.784,1.81,1.865
SUNING UNIVERSAL 'A',CN:JPM(P),CH,8.29,3.98,3.43,3.14,3.09,3.04,3.82,3.69,3.46,4.06,3.18,3.28,3.67,4.07,4.33,5.49,5.86,7.02,8.63,8.56,13.19,13.19,13.19,6.59,11.1,6.88,5.18,4.18,3.47,3.3,3.52,4.65,4.52,4.43,6.1,4.48,6.23,5.05,4.03,5.31,5.13,5.87,5.99,5.6,5.54,8.71,8.79,7.7,9.24,5.1,2.75,3.15,4.64,5.7,8.01,11.98,9.43,4.55,2.36,1.45,1.43,0.85,0.76
SUNING UNIVERSAL 'A' - TOTAL ASSETS,CN:JPM(WC02999A),CH,15498404,15940941,15884563,16617168,16506514,17686221,17823515,18323805,18686329,19028009,18719411,19329848,18066598,19060825,19512959,19778694,20120241,21125018,20971507,24121884,24606509,24663413,24549134,20914307,19864324,22063870,21242570,23139257,22988427,22202417,20376770,20697937,20699224,19121503,18993241,19375387,19082526,18792964,17286984,16771025,16144456,15555178,15152989,12500660,10476122,11103054,9078082,7865013,7270596,7195472,6296118,5786101,5445266,3526115,3425153,2841227,2902365,2172523,2049003,1970812,1841243,1708331,NA
SUNING UNIVERSAL 'A' - MRKT VALUE TO BOOK,CN:JPM(MTBV),CH,2.99,1.43,1.24,1.13,1.11,1.1,1.41,1.36,1.28,1.5,1.12,1.16,1.29,1.44,1.62,2.06,2.19,2.63,3.47,3.44,5.31,5.31,4.4,1.92,3.24,2.01,2.82,2.28,1.89,1.8,2.16,2.86,2.78,2.73,3.24,2.38,3.31,2.68,2.58,3.4,3.29,3.76,4.47,4.18,4.13,6.5,8.12,7.12,8.54,4.72,3.77,3.94,5.82,5.14,17.9,26.77,21.08,8.28,7.15,4.39,4.33,2.58,2.7
SUNING UNIVERSAL 'A' - MARKET VALUE,CN:JPM(MV),CH,25157.14,12077.85,10408.8,9528.76,9377.02,9225.29,11592.31,11197.8,10499.84,12320.62,9650.14,9953.61,11137.11,12350.96,13139.97,16660.15,17782.96,21303.15,26188.91,25976.49,40026.86,40026.86,40026.86,17504.02,29483.27,18266.14,13750.68,11114.96,9214.79,8765.29,9337.39,12361.31,12013.97,11768.79,16202.52,11911.81,16549.86,13403.34,10706.33,14098.03,13621.29,15579.34,15919.88,14864.23,14710.99,23139.16,23343.48,20448.94,24552.35,13550.34,7307.25,7650.42,11279.77,9962.16,13993.18,20925.95,16472.67,6467.77,3357.81,2062.65,2034.67,1211.21,1075.3
SUNING UNIVERSAL 'A' - TOT ASSETS/CMN EQUITY RATIO,CN:JPM(WC08287A),CH,1.713,1.833,1.886,2.018,2.054,2.088,2.171,2.352,2.381,2.224,2.176,2.313,2.202,2.276,2.408,2.648,2.829,2.782,2.781,3.309,2.74,2.701,2.696,4.002,4.15,4.509,4.358,5.578,5.525,5.117,4.721,4.645,3.773,3.618,3.794,4.131,4.189,4.311,4.173,4.059,4.369,4.128,4.257,3.639,3.405,3.637,3.159,2.889,3.311,3.505,3.247,3.868,3.596,3.971,4.382,4.208,4.611,4.523,4.36,4.476,4.399,4.338,NA
ZHEJIANG GUANGSHA 'A',CN:ZGB(P),CH,3.44,2.71,2.96,3.06,3.39,4.15,4.5,5.25,3.1,3.73,2.88,3.23,3.73,3.73,3.79,5.04,5.05,6.36,7.04,7.25,6.88,6.91,8.83,5.53,10.74,7.38,6.4,6.89,6.08,3.38,3.44,3.6,2.97,3.36,4.23,3.37,4.14,4.03,3.42,3.68,4.43,5.2,4.87,5.3,4.68,7.83,8.3,7.39,10.76,5.78,3.24,3.79,5.61,8.87,14.54,19.19,14.98,8.51,5.13,4.42,3.71,2.79,2.56
ZHEJIANG GUANGSHA 'A' - TOTAL ASSETS,CN:ZGB(WC02999A),CH,3542909,3629096,3851953,3904075,3922041,3982012,4120385,3947689,3980333,7945905,6981757,6961514,5687169,5615467,5220574,4979115,4469813,4358025,4464178,5287607,5178702,6115495,5854834,9455693,9583186,9568994,9350040,9269918,10550970,10552796,10118091,10580835,10264300,9965088,9405991,8936898,8753239,8885660,8326840,8226147,8035722,8650314,7924112,7708035,7537699,8178903,8455798,9168321,8852959,9243282,8920318,9780436,9974939,9935329,10000035,9776180,8129031,8942091,5371497,5782180,5526418,5275065,5124313
ZHEJIANG GUANGSHA 'A' - MRKT VALUE TO BOOK,CN:ZGB(MTBV),CH,0.86,0.68,0.74,0.76,0.87,1.07,1.09,1.27,0.75,0.9,1.02,1.15,1.33,1.33,1.43,1.9,1.91,2.4,3,3.09,2.93,2.94,5.92,3.71,7.2,4.95,2.78,3,2.65,1.47,1.64,1.72,1.42,1.6,2.01,1.6,1.97,1.92,1.29,1.39,1.68,1.97,2.06,2.24,1.98,3.31,3.78,3.36,4.9,2.63,1.9,2.23,3.29,5.21,11.17,14.75,11.51,3.85,2.27,1.95,1.64,1.23,0.93
ZHEJIANG GUANGSHA 'A' - MARKET VALUE,CN:ZGB(MV),CH,2904.03,2287.77,2498.82,2583.24,2955.36,3617.92,3923.05,4576.89,2702.55,3251.77,2510.75,2815.88,3251.77,3251.77,3304.08,4393.81,4402.53,5544.57,6137.39,6320.46,5997.9,6024.06,7697.89,4820.99,9363.01,6433.8,5579.45,6006.63,5300.47,2946.64,2998.95,3138.44,2589.21,2929.21,3687.66,2937.93,3609.21,3513.31,2981.52,3208.18,3862.02,4533.3,4245.61,4620.48,4079.97,6826.11,7235.85,6442.52,9380.45,5038.94,2824.59,3304.08,4890.73,7732.77,12675.81,16729.62,13059.39,4372.04,2635.8,2273.07,1905.51,1431.55,1315.48
ZHEJIANG GUANGSHA 'A' - TOT ASSETS/CMN EQUITY RATIO,CN:ZGB(WC08287A),CH,1.054,1.075,1.14,1.136,1.16,1.131,1.143,1.102,1.12,3.275,2.848,2.872,2.331,2.36,2.26,2.314,2.082,2.058,2.181,2.493,2.413,3.855,4.5,5.101,5.07,4.912,4.667,4.147,6.307,5.988,5.535,5.951,5.678,5.415,5.137,5.174,5.151,3.852,3.615,3.712,3.619,4.269,3.845,3.757,3.616,4.326,4.413,6.247,6.032,6.453,6.007,7.438,7.545,8.058,8.815,7.188,5.814,5.759,4.617,4.865,4.053,3.812,3.613
KUNWU JIUDING INVESTMENT HOLDINGS 'A',CN:JGP(P),CH,17.51,15.81,19.55,24.13,29.84,23.26,25.43,21.04,23.3,26.92,23.54,13.1,17.17,26.09,23.89,32.09,34.96,38.9,46.06,44.14,34.63,41.33,58.71,13.2,13.2,13.2,8.5,10.16,8.31,6.41,6.19,7.18,5.85,8.21,7.63,5.5,7.17,6.25,5.9,7.57,8.14,8.8,6.72,7.62,5.82,8.2,8.04,6.02,7.07,5.78,2.8,3.63,4.88,8.84,12,13.96,12.91,7.5,4.85,2.97,2.94,1.88,1.85
KUNWU JIUDING INVESTMENT HOLDINGS 'A' - TOTAL ASSETS,CN:JGP(WC02999A),CH,3255243,3220342,3276048,3501803,3529322,3702422,3819026,4487194,4565324,6174204,5897364,5029299,5345988,5051167,4740201,4223925,4425370,4429787,4242358,4386518,4389054,4439623,4587977,2723725,2607825,2618042,2516110,2727785,2838389,2832682,2826580,3023992,3232676,3118363,3033723,3121395,2920710,2860868,2756549,2824194,2991942,2966539,2598347,2535229,2492907,2571219,2623448,3016286,2778250,2599247,2425787,2414761,2368779,2170842,2098846,2190376,2196842,2198835,NA,NA,NA,NA,158029
KUNWU JIUDING INVESTMENT HOLDINGS 'A' - MRKT VALUE TO BOOK,CN:JGP(MTBV),CH,2.83,2.55,3.16,3.89,4.82,3.75,4.2,3.48,3.85,4.45,4.71,2.62,3.44,5.22,5.14,6.91,7.52,8.37,11.86,11.36,8.92,10.64,22.01,4.95,4.95,4.95,4.2,5.02,4.11,3.17,3.31,3.84,3.13,4.39,4.17,3.01,3.92,3.42,3.28,4.21,4.52,4.89,3.81,4.32,3.3,4.65,4.6,3.44,4.04,3.3,1.6,2.07,2.78,5.04,9.18,10.67,9.87,5.73,3.23,1.05,1.04,0.67,-4.16
KUNWU JIUDING INVESTMENT HOLDINGS 'A' - MARKET VALUE,CN:JGP(MV),CH,7591.29,6854.28,8475.72,10461.34,12936.85,10084.15,11024.93,9121.69,10101.5,11670.91,10205.55,5679.38,7443.89,11311.07,10357.29,13912.32,15156.59,16864.73,19968.88,19136.49,15013.52,17918.24,25453.18,5722.73,5722.73,5722.73,3685.09,4404.77,3602.72,2779,2683.62,3112.82,2536.21,3559.37,3307.91,2384.47,3108.49,2709.63,2557.89,3281.9,3529.02,3815.16,2915.56,3305.75,2525.38,3555.03,3486.39,2608.47,3067.3,2504.9,1213.31,1574.6,2116.52,3832.62,5202.48,6051.5,5596.89,3251.55,2104.48,687.77,681.33,436.5,430.06
KUNWU JIUDING INVESTMENT HOLDINGS 'A' - TOT ASSETS/CMN EQUITY RATIO,CN:JGP(WC08287A),CH,1.194,1.202,1.22,1.276,1.319,1.39,1.456,2.175,2.236,2.617,2.722,2.464,2.65,2.5,2.353,2.481,2.5,2.237,2.519,3.083,3.396,3.781,3.967,3.095,2.969,2.966,2.87,3.252,3.465,3.473,3.49,3.809,4.091,3.924,3.826,3.992,3.737,3.662,3.532,3.618,3.904,3.878,3.397,4.677,4.493,4.643,3.459,4.041,3.722,3.414,3.19,3.912,3.857,3.598,3.702,4.132,4.579,5.14,NA,NA,NA,NA,-1.53
CCCG REAL ESTATE 'A',CN:CII(P),CH,6.3,6.52,6.68,6.6,6.7,6.12,5.48,4.92,5.89,5.93,4.76,5.9,7.08,7.94,6.84,6.85,6.34,8.83,8.31,7.24,6.24,6,7.94,5.83,6.64,5.92,4.11,3.92,2.76,2.83,2.97,3.15,3.14,3.65,4.39,3.75,5.49,3.06,3.01,3.79,4.4,5,4.38,4.71,4.22,6.01,6.11,6.6,5.73,4.52,2.76,3.39,3.39,3.39,3.39,2.66,2.66,2.66,2.66,2.98,2.41,1.44,1.27
CCCG REAL ESTATE 'A' - TOTAL ASSETS,CN:CII(WC02999A),CH,136398048,119750991,99019341,92678733,73364945,57552196,47119554,47023856,45365786,41980545,39991244,39242221,35884467,34032935,32585070,27427481,25389769,21483561,17197051,15287907,10313079,9405293,8072237,7995759,6880256,6649267,6063727,5879259,5485436,4730348,4618229,3172193,3118850,2957771,2827267,2721814,2529501,2469999,2518733,2751498,2466060,2325141,2121416,2191234,2074691,1992267,1962112,2258270,1934419,1921838,1858096,156741,177314,174335,180626,159789,158483,159363,155142,132655,132809,132467,NA
CCCG REAL ESTATE 'A' - MRKT VALUE TO BOOK,CN:CII(MTBV),CH,1.43,1.48,1.52,1.5,1.52,1.39,1.39,1.25,1.5,1.51,1.45,1.8,2.16,2.42,2.27,2.27,2.1,2.93,3.97,3.45,2.97,2.86,3.23,2.37,2.7,2.41,1.7,1.62,1.14,1.17,1.28,1.35,1.35,1.57,1.96,1.68,2.45,1.37,1.46,1.84,2.14,2.43,2.24,2.41,2.15,3.07,3.52,3.8,3.3,2.61,1.89,0.51,0.51,0.51,-5.37,-4.2,-4.2,-4.2,-3.36,-3.77,-3.04,-1.82,-0.29
CCCG REAL ESTATE 'A' - MARKET VALUE,CN:CII(MV),CH,4381.23,4534.22,4645.5,4589.86,4659.4,4252.84,3808.83,3418.32,4097.71,4123.56,3312.22,4105.73,4925.98,5518.89,4755.1,4761.05,4410.36,6143,5780.42,5031.49,4336.06,4169.63,5524.83,4053.72,4615.42,4119.11,2859.01,2728.24,1919.87,1967.42,2065.5,2187.35,2181.4,2538.04,3055.15,2609.36,3818.94,2130.88,2095.22,2639.08,3061.1,3480.14,3043.26,3278.05,2933.3,4181.52,4249.87,4588.67,3985.37,3144.31,1922.84,524.04,524.04,524.04,524.04,410.52,410.52,410.52,410.52,460.68,371.58,222.42,196.02
CCCG REAL ESTATE 'A' - TOT ASSETS/CMN EQUITY RATIO,CN:CII(WC08287A),CH,42.779,41.013,32.344,30.989,26.085,21.106,17.231,19.942,19.832,17.67,17.502,17.536,15.982,16.112,15.55,20.374,18.378,14.989,11.797,9.912,6.054,5.521,4.723,4.699,4.04,3.947,3.595,3.449,3.24,2.846,2.858,1.959,1.905,1.846,1.817,1.787,1.658,1.628,1.757,1.986,1.802,1.712,1.558,1.759,1.673,1.662,1.626,2.158,1.867,1.862,1.825,-1.98,-1.71,-1.646,-1.85,-1.349,-1.325,-1.347,-1.268,-0.19,-0.192,-0.192,NA
NANJING GAOKE 'A',CN:NJX(P),CH,9.29,10.07,10.27,10.95,9.72,8.24,9.75,9.04,10.71,11.47,7.88,7.02,7.34,8.84,8.87,9.49,9.44,10.42,10.47,10.94,9.34,10.31,11.84,9.96,12.19,10.42,7.5,5.49,4.48,4.14,4.59,4.63,4.07,4.67,5.07,4.24,4.79,4.06,3.76,4.4,5.77,6.61,6.1,4.8,4.38,7.29,7.07,5.45,5.4,4.45,2.59,3.49,3.82,6.81,9.09,8.53,7.8,4.29,2.44,2.01,1.87,1.6,1.15
NANJING GAOKE 'A' - TOTAL ASSETS,CN:NJX(WC02999A),CH,32058308,31283458,32307259,30710210,30089359,29061501,28858565,30201513,29926655,29493149,25789752,25732702,25695874,25577318,25990644,26838043,26471592,27248855,25029200,24987398,22992297,21948366,22594897,19606926,23015556,20474834,20339734,16904957,16632154,15582549,15532820,15801722,15715643,16392969,16318767,15628204,16344465,15559242,14928691,14804496,15657442,15657555,14564400,13648640,13130352,14984135,15247144,14201124,14256478,13024705,10820271,11449876,11607935,12412566,13723863,7780308,5717514,5361842,2889209,3104708,3105137,3156443,3156343
NANJING GAOKE 'A' - MRKT VALUE TO BOOK,CN:NJX(MTBV),CH,0.87,0.94,0.96,1.02,0.91,0.77,1.02,0.95,1.12,1.2,1.04,0.93,0.97,1.17,1.08,1.16,1.15,1.27,1.31,1.37,1.17,1.29,1.63,1.37,1.68,1.44,1.12,0.82,0.67,0.62,1.14,1.15,1.01,1.16,1.21,1.01,1.15,0.97,1,1.16,1.53,1.75,1.53,1.2,1.1,1.83,1.38,1.06,1.05,0.87,0.92,1.24,1.35,2.41,1.57,1.47,1.35,0.74,2.14,1.76,1.64,1.4,1.04
NANJING GAOKE 'A' - MARKET VALUE,CN:NJX(MV),CH,11482.04,12446.08,12693.27,13533.73,12013.5,10184.28,12050.57,11173.05,13237.09,14176.42,9739.34,8676.41,9071.92,10922.77,10961.39,11726.14,11664.34,12877.12,12938.92,13525.99,11548.47,12738.08,14673.51,12335.05,15099.39,12910.63,9286.77,6803.76,5549.35,5126.05,5688.73,5735.19,5043.45,5786.81,6282.38,5249.94,5936.51,5033.13,4661.45,5446.11,7149.63,8187.23,7557.44,5952,5430.62,9037.27,8755.07,6755.58,6690.19,5516.66,3210.88,4325.91,4728.56,8431.57,11260.45,10561.83,9663.61,5313.61,3021.6,2488.17,2319.54,1985.72,1421.32
NANJING GAOKE 'A' - TOT ASSETS/CMN EQUITY RATIO,CN:NJX(WC08287A),CH,2.277,2.267,2.438,2.36,2.375,2.335,2.442,2.624,2.668,2.63,2.764,2.513,2.494,2.427,2.568,2.579,2.604,2.63,2.542,2.607,2.531,2.514,2.511,2.54,2.227,2.425,2.463,3.096,3.329,3.223,3.124,3.256,3.279,3.259,3.153,3.41,3.348,3.275,3.192,3.328,3.201,2.866,2.948,2.802,2.835,2.525,2.401,2.515,2.4,2.68,3.09,2.803,2.663,2.285,1.912,2.108,2.193,2.285,2.044,2.411,2.42,2.277,2.304
BEIJING NORTH STAR 'H',K:BNS(P),K$,1.45,1.45,1.45,1.45,1.7,1.8,2.55,2.36,2.94,2.66,2.23,2.34,2.5,2.71,2.85,2.92,3.3,2.88,2.38,2.64,2.36,2.41,2.56,2.24,3.75,2.55,2.47,2.09,1.88,1.78,1.75,1.78,1.72,1.83,2.1,1.38,1.4,1.44,1.15,1.15,1.82,1.92,2.11,2.2,1.91,2.4,2.74,2.68,2.59,1.38,1.3,1.17,2.1,3.09,4.79,6.91,5.72,3.35,3.44,2.37,1.74,2.325,1.94
BEIJING NORTH STAR 'H' - TOTAL ASSETS,K:BNS(WC02999A),K$,89408241,NA,93665613,NA,101824458,NA,101098578,NA,102540900,NA,99046025,NA,94044252,NA,87080210,NA,81292748,NA,71415439,NA,63546417,NA,54317016,NA,47303299,NA,44301510,NA,41552502,NA,38537389,NA,38250613,NA,35721149,NA,34418336,NA,34293425,NA,31229775,NA,30526172,NA,31227709,NA,30080900,NA,29242623,NA,28116469,NA,24402906,NA,21834795,NA,15849206,NA,16084915,NA,12100556,NA,9123099
